year,group,cohort,occ_code,num,occ_income,occ_grade,occ_wage,occ_ln_income_arith,occ_ln_income_geo,occ_ln_wage_arith,occ_ln_wage_geo,occ_var_ln_income,occ_var_ln_wage
2012,2,0,57,5249.5,28220.55,11.56815,13.50444,10.24781,10.16686,2.603019,2.52457,.1696591,.1627884
2012,2,0,58,40260,29118.35,11.61212,13.68127,10.27912,10.17958,2.616028,2.526428,.2161333,.1999125
2012,2,0,59,26046,30433.7,13.02791,14.82862,10.32331,10.22089,2.696559,2.597319,.2046312,.1960924
2012,2,0,60,108018,21815.54,11.67352,10.816,9.990377,9.873489,2.381027,2.274883,.2231566,.2061182
2012,2,0,61,251730.5,29508.09,11.93728,14.03441,10.29242,10.1518,2.641512,2.515193,.2724775,.2426027
2012,2,0,62,185225,29017.42,12.04523,13.80402,10.27565,10.16765,2.62496,2.524209,.2234382,.2081544
2012,2,0,63,123692.5,35376.62,12.87028,16.53458,10.47381,10.32434,2.805454,2.668939,.2901825,.2632472
2012,2,0,64,234616,32526.42,13.90289,15.02071,10.38981,10.21155,2.70943,2.550072,.3379151,.307632
2012,2,0,65,9726,48068.57,12.97399,20.87158,10.78038,10.63215,3.038389,2.916386,.321427,.2644185
2012,2,0,66,270356,26045.65,12.32938,12.73187,10.16761,10.03032,2.544108,2.415972,.2691652,.2487528
2012,3,0,0,2100691,,12.53897,,,,,,,
2012,3,0,1,317158,74323.95,15.21416,31.55029,11.21619,10.9915,3.451583,3.238698,.4481556,.4328779
2012,3,0,2,186824,62450.97,15.23497,28.31742,11.04214,10.87081,3.343477,3.178606,.3369342,.3306009
2012,3,0,3,2962.5,71113.2,16.60962,31.8726,11.17203,11.03588,3.461747,3.346162,.2569654,.2407153
2012,3,0,4,46299,82666.48,16.11439,37.01769,11.32257,11.2005,3.611396,3.485621,.2503376,.2622539
2012,3,0,5,108650,66977.63,14.99625,30.86633,11.11211,10.9918,3.429666,3.311981,.2540695,.252977
2012,3,0,6,8486,66453.67,17.47243,30.6479,11.10426,10.97243,3.422564,3.292387,.2848941,.2786885
2012,3,0,7,20363.5,193333.1,18.89002,74.00188,12.17217,11.8788,4.30409,3.984518,.685043,.7425871
2012,3,0,8,27832.5,72436.47,15.98362,34.16193,11.19046,11.05089,3.531112,3.401003,.2773836,.2661433
2012,3,0,9,13263.5,71426.88,15.8805,33.25376,11.17643,10.93315,3.504168,3.266992,.474071,.467177
2012,3,0,10,20554.5,67187.41,19.61172,29.51818,11.11524,10.9234,3.385006,3.200354,.3911196,.3797368
2012,3,0,11,129493,46910.32,16.39624,21.69021,10.75599,10.63838,3.076861,2.961057,.2510554,.2448021
2012,3,0,12,1263,43702.16,16.70942,20.82948,10.68515,10.61868,3.03637,2.967262,.1276354,.1386826
2012,3,0,13,9412.5,77555.88,16.78364,35.40121,11.25875,11.05237,3.566746,3.377377,.4142987,.390747
2012,3,0,14,54977,46722.51,16.03785,20.96993,10.75198,10.5861,3.043089,2.883348,.3216362,.3112612
2012,3,0,15,16870,127168.6,18.77783,49.43909,11.75327,11.53706,3.900741,3.707143,.4543292,.4172537
2012,3,0,16,54305,55005.72,15.6939,24.63257,10.91519,10.64874,3.20407,2.956532,.5700148,.541467
2012,3,0,17,44006,51640.33,13.97264,24.12609,10.85206,10.70151,3.183294,3.036097,.2769121,.2727147
